new_id,city,cc,country,region,subregion,lat,lon,North_America,Europe,LATAM,Africa,SE_Asia,Oceania,S_Asia,W_Asia,East_Asia,GDP,GDP_growth,GDP_per_cap_method1,GDP_per_cap_method2,Population,Population_growth_rate,Area_method2,Density_method1,HDD,CDD,TDD,HDI_country,HDI_2,Fuel_price,CO2_cap_QC,Target
IT2020,Biccari,IT,Italy,Europe,Europe (EU & EFTA countries),41.396128,15.194444,0,1,0,0,0,0,0,0,0,45.9033,-0.00721023,15900.0,38552.9375,2887,1.003954781,4.688566517,615.7532348999999,5274,425,5699,0.8718088070000001,0.897857606,1.61,False,IT2020
IT2021,Borghi,IT,Italy,Europe,Europe (EU & EFTA countries),44.032064,12.355642,0,1,0,0,0,0,0,0,0,86.2615,-0.007210219,29900.0,26655.0332,2885,1.003954781,9.620268982999999,299.8876648,3833,1103,4936,0.8718088070000001,0.864704847,1.61,False,IT2021
IT2022,Artegna,IT,Italy,Europe,Europe (EU & EFTA countries),46.2390964,13.1556513,0,1,0,0,0,0,0,0,0,82.7708,-0.007210233000000001,28700.0,22517.73438,2884,1.003954781,3.434562658,839.6993408,3042,613,3655,0.8718088070000001,0.8547992109999999,1.61,False,IT2022
IT2023,San Pier Niceto,IT,Italy,Europe,Europe (EU & EFTA countries),38.1601894,15.3491301,0,1,0,0,0,0,0,0,0,50.7408,-0.007210229,17600.0,27893.44922,2883,1.003954781,37.83236687,76.20458984,1371,2031,3402,0.8718088070000001,0.88008374,1.61,False,IT2023
IT2024,Alano Di Piave,IT,Italy,Europe,Europe (EU & EFTA countries),45.907803,11.9081948,0,1,0,0,0,0,0,0,0,84.9895,-0.00721023,29500.0,42418.44922,2881,1.003954781,12.39148405,232.49838259999999,3811,1296,5107,0.8718088070000001,0.903752804,1.61,False,IT2024
IT2025,Monforte San Giorgio,IT,Italy,Europe,Europe (EU & EFTA countries),38.1564006,15.383256,0,1,0,0,0,0,0,0,0,50.688,-0.00721023,17600.0,42418.44922,2880,1.003954781,22.13636504,130.1026611,1371,2031,3402,0.8718088070000001,0.903752804,1.61,False,IT2025
IT2026,Nulvi,IT,Italy,Europe,Europe (EU & EFTA countries),40.783764,8.743716,0,1,0,0,0,0,0,0,0,58.1154,-0.0004871,20200.0,25701.68359,2877,1.003954781,7.949677151,361.90148930000004,2413,1332,3745,0.8718088070000001,0.853640974,1.26,False,IT2026
IT2027,Vercurago,IT,Italy,Europe,Europe (EU & EFTA countries),45.810482,9.424146,0,1,0,0,0,0,0,0,0,80.7594,-0.00721023,28100.0,42418.44922,2874,1.003954781,8.348360375,344.2592163,3856,1148,5004,0.8718088070000001,0.903752804,1.61,True,IT2027
IT2028,Canaro,IT,Italy,Europe,Europe (EU & EFTA countries),44.9354725,11.6767382,0,1,0,0,0,0,0,0,0,73.185,0.003479738,25500.0,46739.15625,2870,1.003954781,4.4813906139999995,640.4262085,3793,1528,5321,0.8718088070000001,0.918891907,1.43,False,IT2028
IT2029,Basiano,IT,Italy,Europe,Europe (EU & EFTA countries),45.5735877,9.4678537,0,1,0,0,0,0,0,0,0,146.8416,0.038413604,51200.0,13569.25391,2868,1.003954781,7.367259913,389.289917,3728,1301,5029,0.8718088070000001,0.7269999979999999,0.68,True,IT2029
IT2030,Parre,IT,Italy,Europe,Europe (EU & EFTA countries),45.874587,9.890855,0,1,0,0,0,0,0,0,0,87.9862,-0.00151546,30700.0,30488.82813,2866,1.003954781,6.765426299999999,423.6244507,3856,1148,5004,0.8718088070000001,0.870629013,1.26,True,IT2030
IT2031,Badia Calavena,IT,Italy,Europe,Europe (EU & EFTA countries),45.5660855,11.1523929,0,1,0,0,0,0,0,0,0,88.1188,-0.00721023,30800.0,38552.9375,2861,1.003954781,4.727452393,605.1885376,3883,1266,5149,0.8718088070000001,0.897857606,1.61,False,IT2031
IT2032,Gussola,IT,Italy,Europe,Europe (EU & EFTA countries),45.0112627,10.3501373,0,1,0,0,0,0,0,0,0,79.5987,-0.007210233000000001,27900.0,22517.73438,2853,1.003954781,3.920630132,727.6891479,2578,989,3567,0.8718088070000001,0.8547992109999999,1.61,False,IT2032
IT2033,Varmo,IT,Italy,Europe,Europe (EU & EFTA countries),45.887015,12.987726,0,1,0,0,0,0,0,0,0,81.8811,-0.00721023,28700.0,38552.9375,2853,1.003954781,26.87653302,106.1520844,3042,613,3655,0.8718088070000001,0.897857606,1.61,False,IT2033
IT2034,Sant'Agata Sul Santerno,IT,Italy,Europe,Europe (EU & EFTA countries),44.44217,11.860124,0,1,0,0,0,0,0,0,0,87.7492,-0.00721023,30800.0,42418.44922,2849,1.003954781,16.63583228,171.25683590000003,2849,1226,4075,0.8718088070000001,0.903752804,1.61,False,IT2034
IT2035,San Cono,IT,Italy,Europe,Europe (EU & EFTA countries),37.2899417,14.364986,0,1,0,0,0,0,0,0,0,50.6766,-0.00721023,17800.0,42418.44922,2847,1.003954781,9.013901083,315.8454895,1381,1877,3258,0.8718088070000001,0.903752804,1.61,False,IT2035
IT2036,Rotondella,IT,Italy,Europe,Europe (EU & EFTA countries),40.171312,16.525589,0,1,0,0,0,0,0,0,0,48.6666,-0.007210229,17100.0,27893.44922,2846,1.003954781,7.443709705,382.33624269999996,2025,1841,3866,0.8718088070000001,0.88008374,1.61,False,IT2036
IT2037,Sciara,IT,Italy,Europe,Europe (EU & EFTA countries),37.9147764,13.762339,0,1,0,0,0,0,0,0,0,52.0269,-0.00151546,18300.0,30488.82813,2843,1.003954781,2.9994970760000004,947.8255615,3874,904,4778,0.8718088070000001,0.870629013,1.26,False,IT2037
